EQUIPO,PART,MIN,PT,T2,T3,TC,TL,RO,RD,RT,AS,BR,BP,TF,TC,MT,FC,FR,VA,Temporada,Liga
VALENCIA B.C.,22,4450,1436,462/1061,110/307,572/1368,182/288,199,608,807,361,161,283,53,26,0,365,356,1598,2019/2020,LF Endesa
CIUDAD DE LA LAGUNA TENERIFE,22,4550,1481,442/982,113/369,555/1351,258/359,159,590,749,255,186,355,26,56,0,395,375,1369,2019/2020,LF Endesa
CAMPUS PROMETE,22,4400,1298,399/955,99/339,498/1294,203/273,186,551,737,240,178,311,30,45,0,342,328,1247,2019/2020,LF Endesa
NISSAN AL-QÁZERES EXTREMADURA,22,4400,1230,344/911,117/412,461/1323,191/269,175,477,652,192,172,285,36,49,0,407,340,941,2019/2020,LF Endesa
MANN-FILTER CASABLANCA,22,4500,1381,362/826,138/475,500/1301,243/332,152,575,727,303,174,357,42,36,0,426,385,1303,2019/2020,LF Endesa
PERFUMERIAS AVENIDA,22,4400,1638,493/964,142/406,635/1370,226/310,201,508,709,364,257,268,46,33,0,331,352,1915,2019/2020,LF Endesa
QUESOS EL PASTOR,22,4525,1393,381/911,129/447,510/1358,244/334,207,504,711,217,166,323,45,46,0,342,379,1262,2019/2020,LF Endesa
EMBUTIDOS PAJARIEL BEMBIBRE PDM,26,5200,1538,422/1062,161/535,583/1597,211/305,259,572,831,294,215,370,36,57,0,377,445,1447,2018/2019,LF Endesa
IDK GIPUZKOA,26,5200,1639,539/1180,98/303,637/1483,267/376,212,707,919,365,201,417,66,50,0,418,426,1776,2018/2019,LF Endesa
NISSAN AL-QÁZERES EXTREMADURA,26,5275,1724,513/1135,134/457,647/1592,296/426,199,664,863,387,222,392,50,46,0,411,452,1774,2018/2019,LF Endesa
BAXI FERROL,26,5275,1517,437/1072,147/513,584/1585,202/320,251,643,894,302,188,478,61,59,0,473,380,1213,2018/2019,LF Endesa
DURÁN MAQUINARIA ENSINO,26,5250,1731,575/1243,117/425,692/1668,230/341,286,641,927,353,260,411,52,68,0,404,383,1736,2018/2019,LF Endesa
SNATT'S FEMENI SANT ADRIA,26,5225,1658,436/1080,178/617,614/1697,252/345,268,660,928,248,197,377,45,40,0,460,397,1420,2018/2019,LF Endesa
CADI LA SEU,26,5200,1839,519/1076,188/584,707/1660,237/330,258,635,893,373,232,340,44,51,0,413,405,1936,2018/2019,LF Endesa
SPAR CITYLIFT GIRONA,26,5200,1971,589/1258,181/536,770/1794,250/382,327,664,991,431,277,320,71,37,0,458,436,2206,2018/2019,LF Endesa
QUESOS EL PASTOR,26,5275,1648,488/1080,129/491,617/1571,285/372,214,626,840,290,161,362,74,48,0,383,428,1607,2018/2019,LF Endesa
